Place_Id,Place_Name,Description,Category,City,Price,Rating,Description_Clean,Fitur_Gabungan,Tipe_Wisata,Time_Minutes
11,Pulau Bidadari,"Pulau Bidadari merupakan salah satu resor di Kabupaten Kepulauan Seribu, Jakarta. Sebelum bernama Pulau Bidadari, pulau ini memiliki dua nama yaitu Pulau Sakit dan Pulau Purmerend",Bahari,Jakarta,5000,46.0,pulau bidadari salah resor kabupaten pulau ribu jakarta nama pulau bidadari pulau milik nama pulau sakit pulau purmerend,pulau bidadari salah resor kabupaten pulau ribu jakarta nama pulau bidadari pulau milik nama pulau sakit pulau purmerend bahari jakarta,Pantai/Bahari,60
12,Pulau Pari,"Pulau Pari adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia._x000D_",Bahari,Jakarta,150000,4.0,pulau pari pulau letak pulau ribu daerah ibukota jakarta indonesia,pulau pari pulau letak pulau ribu daerah ibukota jakarta indonesia bahari jakarta,Pantai/Bahari,60
13,Pulau Pramuka,Pulau Pramuka merupakan salah satu pulau yang berada dalam gugusan Kepulauan Seribu. Pulau ini merupakan pusat administrasi dan pemerintahan Kabupaten Administrasi Kepulauan Seribu. Pulau Pramuka termasuk ke dalam wilayah Kelurahan Pulau Panggang.,Bahari,Jakarta,5000,42.0,pulau pramuka salah pulau gugus pulau ribu pulau pusat administrasi perintah kabupaten administrasi pulau ribu pulau pramuka wilayah lurah pulau panggang,pulau pramuka salah pulau gugus pulau ribu pulau pusat administrasi perintah kabupaten administrasi pulau ribu pulau pramuka wilayah lurah pulau panggang bahari jakarta,Pantai/Bahari,60
14,Pulau Pelangi,"Pulau Pelangi adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia. Pulau Pelangi adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia, Pulau Pelangi / biasa disebut Pulau Petondan Besar ( Pelangi Island ) merupakan pulau resort yang sesuai untuk berlibur. Pulau Resort ini mempunyai konsep natural, karena sebagian wilayahnya di penuhi dengan rerimbunan pohon yang menyejukan mata, Keindahan alam dan lautnya layak untuk dikunjungi. Dikelilingi oleh rimbunan pohon dan laut berwarana biru jernih membuat suasanan sejuk dan nyaman. Kondisi yang ideal untuk wisata bersama keluarga. Dengan akomodasi yang langsung menghadap ke laut membuat turis betah berlama-lama di Pulau Pelangi.\nMenurut informasi, Pulau Pelangi atau Pulau Petondan Besar merupakan pulau yang berada pada gugusan Kepulauan Seribu. Secara administratif termasuk dalam wilayah Kabupaten Administratif Kepulauan Seribu provinsi DKI Jakarta. Bersamaan dengan Pulau Petondan Kecil merupakan sebuah resort berlibur. Letaknya berdekatan dengan gugusan yang sama dengan Pulau Kelor dan Pulau Kelapa.\nUntuk mencapai Pelangi Resort dibutuhkan waktu 90 menit perjalanan dari dermaga Pantai Mutiara. Terdapat kapal speedboat khusus di pier R1 Pantai Mutiara yang membawa penumpang kesana. Letaknya 60 – 70 km dari Pantai Mutiara memang lumayan jauh. Namun perjalanan anda terbayar lunas begitu sampai di Pulau Pelangi._x000D_",Bahari,Jakarta,900000,48.0,pulau pelangi pulau letak pulau ribu daerah ibukota jakarta indonesia pulau pelangi pulau letak pulau ribu daerah ibukota jakarta indonesia pulau pelangi pulau petondan pelangi island pulau resort sesuai libur pulau resort konsep natural wilayah penuh rimbun pohon sejuk indah alam laut layak kunjung keliling rimbun pohon laut berwarana biru jernih suasanan sejuk nyaman kondisi ideal wisata keluarga akomodasi hadap laut turis betah lama pulau pelangi nmenurut informasi pulau pelangi pulau petondan pulau gugus pulau ribu administratif wilayah kabupaten administratif pulau ribu provinsi dki jakarta sama pulau petondan resort libur letak dekat gugus pulau kelor pulau kelapa nuntuk capai pelangi resort butuh waktu menit jalan dermaga pantai mutiara kapal speedboat pier pantai mutiara bawa tumpang kesana letak km pantai mutiara lumayan jalan bayar lunas pulau pelangi,pulau pelangi pulau letak pulau ribu daerah ibukota jakarta indonesia pulau pelangi pulau letak pulau ribu daerah ibukota jakarta indonesia pulau pelangi pulau petondan pelangi island pulau resort sesuai libur pulau resort konsep natural wilayah penuh rimbun pohon sejuk indah alam laut layak kunjung keliling rimbun pohon laut berwarana biru jernih suasanan sejuk nyaman kondisi ideal wisata keluarga akomodasi hadap laut turis betah lama pulau pelangi nmenurut informasi pulau pelangi pulau petondan pulau gugus pulau ribu administratif wilayah kabupaten administratif pulau ribu provinsi dki jakarta sama pulau petondan resort libur letak dekat gugus pulau kelor pulau kelapa nuntuk capai pelangi resort butuh waktu menit jalan dermaga pantai mutiara kapal speedboat pier pantai mutiara bawa tumpang kesana letak km pantai mutiara lumayan jalan bayar lunas pulau pelangi bahari jakarta,Pantai/Bahari,60
15,Pasar Seni,"Pasar Seni merupakan Pusat kerajinan dan kesenian yang menjadi wadah bagi seniman berbakat untuk menyalurkan kerajinan seni yang mereka miliki. Seniman dapat bertemu dengan para kolektor seni dan pengusaha untuk saling berbagi informasi dan memasarkan produk yang dimiliki. Didirikan awal tahun 1977, dengan peletakan batu pertama oleh Bang Ali Sadikin, Gubernur pertama DKI Jakarta, tepatnya pada bulan Juli 1977. Dan diresmikan oleh Gubernur H. Tjokropanolo pada tanggal 17 Desember 1977. Sejak diresmikan Pasar Seni, mendapat sambutan positif bagi pada pecinta seni yang ada.",Pusat Perbelanjaan,Jakarta,0,44.0,pasar seni pusat rajin seni wadah seniman bakat salur rajin seni milik seniman temu kolektor seni usaha bagi informasi pasar produk milik diri tahun leta batu bang ali sadikin gubernur dki jakarta tepat juli resmi gubernur tjokropanolo tanggal desember resmi pasar seni sambut positif cinta seni,pasar seni pusat rajin seni wadah seniman bakat salur rajin seni milik seniman temu kolektor seni usaha bagi informasi pasar produk milik diri tahun leta batu bang ali sadikin gubernur dki jakarta tepat juli resmi gubernur tjokropanolo tanggal desember resmi pasar seni sambut positif cinta seni pusat perbelanjaan jakarta,Pusat Perbelanjaan,60
16,Jembatan Kota Intan,"Jembatan Kota Intan adalah jembatan tertua di Indonesia yang dibangun pada tahun 1628 oleh pemerintah Vereenigde Oostindische Compagnie atau VOC, atau masyarakat kita lebih familiar dengan sebutan Kumpeni. Jembatan itu kini terletak di Kali Besar kawasan Kota Tua wilayah Jakarta Barat dan berada di bawah pengelolaan Dinas Pariwisata dan Kebudayaan Provinsi DKI Jakarta.",Budaya,Jakarta,0,43.0,jembatan kota intan jembatan tua indonesia bangun tahun perintah vereenigde oostindische compagnie voc masyarakat familiar sebut kumpeni jembatan letak kawasan kota tua wilayah jakarta barat kelola dinas pariwisata budaya provinsi dki jakarta,jembatan kota intan jembatan tua indonesia bangun tahun perintah vereenigde oostindische compagnie voc masyarakat familiar sebut kumpeni jembatan letak kawasan kota tua wilayah jakarta barat kelola dinas pariwisata budaya provinsi dki jakarta budaya jakarta,Budaya,60
17,Museum Fatahillah,"Museum Fatahillah memiliki nama resmi Museum Sejarah Jakarta adalah sebuah museum yang terletak di Jalan Taman Fatahillah No. 1, Jakarta Barat dengan luas lebih dari 1.300 meter persegi.\nBangunan ini dahulu merupakan balai kota Batavia (bahasa Belanda: Stadhuis van Batavia) yang dibangun pada tahun 1707-1710 atas perintah Gubernur-Jendral Joan van Hoorn. Bangunan ini menyerupai Istana Dam di Amsterdam, terdiri atas bangunan utama dengan dua sayap di bagian timur dan barat serta bangunan sanding yang digunakan sebagai kantor, ruang pengadilan, dan ruang-ruang bawah tanah yang dipakai sebagai penjara. Pada tanggal 30 Maret 1974, bangunan ini kemudian diresmikan oleh bapak Ali Sadikin sebagai Museum Sejarah Jakarta.",Budaya,Jakarta,5000,44.0,museum fatahillah milik nama resmi museum sejarah jakarta museum letak jalan taman fatahillah no jakarta barat luas meter persegi nbangunan balai kota batavia bahasa belanda stadhuis van batavia bangun tahun perintah gubernur jendral joan van hoorn bangun rupa istana dam amsterdam bangun utama sayap timur barat bangun sanding kantor ruang adil ruang ruang tanah pakai penjara tanggal maret bangun resmi ali sadikin museum sejarah jakarta,museum fatahillah milik nama resmi museum sejarah jakarta museum letak jalan taman fatahillah no jakarta barat luas meter persegi nbangunan balai kota batavia bahasa belanda stadhuis van batavia bangun tahun perintah gubernur jendral joan van hoorn bangun rupa istana dam amsterdam bangun utama sayap timur barat bangun sanding kantor ruang adil ruang ruang tanah pakai penjara tanggal maret bangun resmi ali sadikin museum sejarah jakarta budaya jakarta,Museum,60
18,Museum Bank Indonesia,"Museum Bank Indonesia adalah sebuah museum di Jakarta, Indonesia yang terletak di Jl. Pintu Besar Utara No.3, Jakarta Barat (depan stasiun Beos Kota), dengan menempati area bekas gedung Bank Indonesia Kota yang merupakan cagar budaya peninggalan De Javasche Bank yang beraliran neo-klasikal, dipadu dengan pengaruh lokal, dan dibangun pertama kali pada tahun 1828.\nPada tahun 1625, di tempat ini pernah dibangun sebuah gereja sederhana untuk umat Protestan. Pada tahun 1628, gereja ini dibongkar karena digunakan untuk tempat meriam besar ketika puluhan ribu tentara Sultan Agung menyerang Batavia untuk pertama kali.Museum ini menyajikan informasi peran Bank Indonesia dalam perjalanan sejarah bangsa yang dimulai sejak sebelum kedatangan bangsa barat di Nusantara hingga terbentuknya Bank Indonesia pada tahun 1953 dan kebijakan-kebijakan Bank Indonesia, meliputi pula latar belakang dan dampak kebijakan Bank Indonesia bagi masyarakat sampai dengan tahun 2005. Penyajiannya dikemas sedemikian rupa dengan memanfaatkan teknologi modern dan multi media, seperti display elektronik, panel statik, televisi plasma, dan diorama sehingga menciptakan kenyamanan pengunjung dalam menikmati Museum Bank Indonesia. Selain itu terdapat pula fakta dan koleksi benda bersejarah pada masa sebelum terbentuknya Bank Indonesia, seperti pada masa kerajaan-kerajaan Nusantara, antara lain berupa koleksi uang numismatik yang ditampilkan juga secara menarik.\nPeresmian Museum Bank Indonesia dilakukan melalui dua tahap, yaitu peresmian tahap I dan mulai dibuka untuk masyarakat (soft opening) pada tanggal 15 Desember 2006 oleh Gubernur Bank Indonesia saat itu, Burhanuddin Abdullah, dan peresmian tahap II (grand opening) oleh Presiden RI Susilo Bambang Yudhoyono, pada tanggal 21 Juli 2009.\nMuseum Bank Indonesia buka setiap hari kecuali Senin dan hari libur nasional.",Budaya,Jakarta,2000,47.0,museum bank indonesia museum jakarta indonesia letak jl pintu utara no jakarta barat stasiun beos kota tempat area bekas gedung bank indonesia kota cagar budaya tinggal de javasche bank alir neo klasikal padu pengaruh lokal bangun tahun npada tahun bangun gereja sederhana umat protestan tahun gereja bongkar meriam puluh ribu tentara sultan agung serang batavia museum saji informasi peran bank indonesia jalan sejarah bangsa datang bangsa barat nusantara bentuk bank indonesia tahun bijak bijak bank indonesia liput latar dampak bijak bank indonesia masyarakat tahun saji kemas manfaat teknologi modern multi media display elektronik panel statik televisi plasma diorama cipta nyaman unjung nikmat museum bank indonesia fakta koleksi benda sejarah bentuk bank indonesia raja raja nusantara koleksi uang numismatik tampil tarik nperesmian museum bank indonesia tahap resmi tahap buka masyarakat soft opening tanggal desember gubernur bank indonesia burhanuddin abdullah resmi tahap ii grand opening presiden ri susilo bambang yudhoyono tanggal juli nmuseum bank indonesia buka kecuali senin libur nasional,museum bank indonesia museum jakarta indonesia letak jl pintu utara no jakarta barat stasiun beos kota tempat area bekas gedung bank indonesia kota cagar budaya tinggal de javasche bank alir neo klasikal padu pengaruh lokal bangun tahun npada tahun bangun gereja sederhana umat protestan tahun gereja bongkar meriam puluh ribu tentara sultan agung serang batavia museum saji informasi peran bank indonesia jalan sejarah bangsa datang bangsa barat nusantara bentuk bank indonesia tahun bijak bijak bank indonesia liput latar dampak bijak bank indonesia masyarakat tahun saji kemas manfaat teknologi modern multi media display elektronik panel statik televisi plasma diorama cipta nyaman unjung nikmat museum bank indonesia fakta koleksi benda sejarah bentuk bank indonesia raja raja nusantara koleksi uang numismatik tampil tarik nperesmian museum bank indonesia tahap resmi tahap buka masyarakat soft opening tanggal desember gubernur bank indonesia burhanuddin abdullah resmi tahap ii grand opening presiden ri susilo bambang yudhoyono tanggal juli nmuseum bank indonesia buka kecuali senin libur nasional budaya jakarta,Museum,60
19,Kidzania,"KidZania adalah sebuah waralaba swasta Meksiko berupa pusat hiburan keluarga yang saat ini beroperasi di 23 lokasi, yang memungkinkan anak-anak melakukan pekerjaan orang dewasa dan mendapat bayaran. KidZania telah dikunjungi oleh lebih dari 31 juta pengunjung di seluruh dunia sejak pembukaannya, menjadikannya salah satu merek hiburan global yang paling cepat berkembang di dunia.",Taman Hiburan,Jakarta,185000,46.0,kidzania waralaba swasta meksiko pusat hibur keluarga operasi lokasi anak anak kerja dewasa bayar kidzania kunjung juta unjung dunia buka jadi salah merek hibur global cepat kembang dunia,kidzania waralaba swasta meksiko pusat hibur keluarga operasi lokasi anak anak kerja dewasa bayar kidzania kunjung juta unjung dunia buka jadi salah merek hibur global cepat kembang dunia taman hiburan jakarta,Taman Hiburan,60
20,Museum Taman Prasasti,"Museum Taman Prasasti adalah sebuah museum cagar budaya peninggalan masa kolonial Belanda yang berada di Jalan Tanah Abang No. 1, Jakarta Pusat. Museum ini memiliki koleksi prasasti nisan kuno serta miniatur makam khas dari 27 provinsi di Indonesia, beserta koleksi kereta jenazah antik. Museum seluas 1,2 ha ini merupakan museum terbuka yang menampilkan karya seni dari masa lampau tentang kecanggihan para pematung, pemahat, kaligrafer dan sastrawan yang menyatu._x000D_",Budaya,Jakarta,2000,45.0,museum taman prasasti museum cagar budaya tinggal kolonial belanda jalan tanah abang no jakarta pusat museum milik koleksi prasasti nisan kuno miniatur makam khas provinsi indonesia serta koleksi kereta jenazah antik museum luas ha museum buka tampil karya seni lampau canggih patung pahat kaligrafer sastrawan satu,museum taman prasasti museum cagar budaya tinggal kolonial belanda jalan tanah abang no jakarta pusat museum milik koleksi prasasti nisan kuno miniatur makam khas provinsi indonesia serta koleksi kereta jenazah antik museum luas ha museum buka tampil karya seni lampau canggih patung pahat kaligrafer sastrawan satu budaya jakarta,Museum,60
21,Museum Wayang,"Museum Wayang adalah sebuah museum yang berlokasi di Jalan Pintu Besar Utara Nomor 27, Jakarta Barat.",Budaya,Jakarta,5000,45.0,museum wayang museum lokasi jalan pintu utara nomor jakarta barat,museum wayang museum lokasi jalan pintu utara nomor jakarta barat budaya jakarta,Museum,60
